Point_label,Point_nb,X,Y,Z,radius,within_fault
A2_mid_NE_R05,,26000,30000,-3000,500,0
A_mid_NE,1001,26600,25000,-3000,500,0
B_mid_SE,1002,29422,18430,-3000,500,0
C_mid_SW,1003,24000,12000,-3000,500,0
C2_mid_SW_lowR,1003.5,22500,10500,-3000,500,0
D_mid_NW,1004,21000,20000,-3000,500,0
E_mid_Wha-Cross,1005,14000,20000,-3000,500,0
F_Wha_near_FW,1006,11500,20000,-3000,500,0
G_Wha_near_HW,1007,7000,20000,-3000,500,0
Ka_N_HW,1011,21900,26800,-3000,200,0
Ka_N_FW,1013,23400,27100,-3000,200,0
TeM_E_FW,1021,28400,26200,-3000,200,0
TeM_E_HW,1023,29500,25750,-3000,200,0
Cross_E,1122,25550,19000,-3000,200,0
Cross_W,1123,24000,19100,-3000,200,0
Cross_N,1124,25050,20500,-3000,200,0
Cross_S,1125,24600,17500,-3000,200,0
Ka_S_HW,1015,26200,11850,-3000,200,0
Ka_S_FW,1017,27300,12150,-3000,200,0
TeM_W_FW,1025,20500,12800,-3000,200,0
TeM_W_HW,1027,21600,12200,-3000,200,0
Wha_HW,1030,9000,20000,-3000,200,0
Wha_FW,1032,10200,20000,-3000,200,0
SE_TmHW_20deg,1041,30500,25320,-3000,200,0
Wha_R06,1051,4900,20000,-3000,200,0
TeM_W_FW_R06,1052,18000,12175,-3000,200,0
TeM_E_HW_R06,1053,33650,26140,-3000,200,0
